order_id,quantity,item_name,choice_description,item_price
57,1,Barbacoa Burrito,"Roasted Chili Corn Salsa, Rice, Pinto Beans, Cheese, Guacamole, Lettuce",11.75
58,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",8.49
59,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream, Guacamole",10.98
60,2,Chicken Salad Bowl,"Tomatillo Green Chili Salsa, Sour Cream, Cheese, Guacamole",22.5
61,1,Barbacoa Bowl,"Tomatillo-Red Chili Salsa (Hot), Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.75
62,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole",11.25
63,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Sour Cream, Cheese, Guacamole",11.25
64,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce",11.25
65,1,Barbacoa Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Sour Cream, Cheese, Guacamole",11.75
66,1,Steak Burrito,"Tomatillo-Green Chili Salsa (Medium), Rice, Black Beans, Sour Cream, Guacamole",11.48
67,2,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",17.98
68,2,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Sour Cream, Cheese, Lettuce",17.5
69,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",8.49
70,2,Chicken Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Lettuce",17.5
71,1,Chips and Guacamole,no choice,4.45
72,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",10.98
73,1,Chicken Bowl,"Fresh Tomato Salsa (Mild) (Mild), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.49
74,1,Carnitas Bowl,"Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",11.48
75,1,Chips and Guacamole,no choice,4.45
76,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild) (Mild), Rice, Black Beans, Cheese, Lettuce",8.49
77,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream, Lettuce",8.49
78,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Lettuce",8.49
79,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",10.98
80,1,Steak Burrito,"Fresh Tomato Salsa (Mild) (Mild), Rice, Black Beans, Sour Cream, Guacamole",11.48
81,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Rice, Fajita Veggies, Cheese, Sour Cream",8.49
82,1,Barbacoa Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Rice, Pinto Beans, Cheese, Sour Cream",9.25
83,1,Steak Soft Tacos,"Fresh Tomato Salsa (Mild), Cheese, Sour Cream",9.25
84,1,Steak Bowl,"Fresh Tomato Salsa (Mild) (Mild), Rice, Fajita Veggies, Guacamole, Lettuce",11.48
85,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Fajita Veggies, Cheese, Lettuce, Sour Cream, Rice",8.99
86,1,Veggie Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce",11.25
87,1,Canned Soda,Coca Cola,1.09
88,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",8.49
89,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce",10.98
90,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole",11.25
91,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream, Lettuce",8.49
92,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Cheese, Lettuce",8.75
93,1,Chicken Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.25
94,2,Chicken Salad Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Pinto Beans, Guacamole",22.5
95,1,Chips and Guacamole,no choice,4.45
96,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream",8.75
97,1,Barbacoa Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese",9.25
98,1,Barbacoa Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Lettuce",9.25
99,1,Veggie Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Cheese, Guacamole",11.25
100,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream",8.99
101,1,Steak Burrito,"Tomatillo-Green Chili Salsa (Medium), Black Beans, Rice, Cheese, Sour Cream, Lettuce",8.99
102,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce",8.75
103,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.75
104,1,Carnitas Burrito,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Sour Cream, Cheese",9.25
105,2,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream, Lettuce",17.5
106,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Cheese, Sour Cream",8.75
107,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",10.98
108,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese, Lettuce",8.99
109,1,Chicken Salad,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",10.98
110,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Lettuce",8.75
111,1,Chicken Salad Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",8.75
112,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream",8.99
113,1,Steak Bowl,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream",8.99
114,1,Steak Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Cheese, Sour Cream, Guacamole, Lettuce",11.75
115,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice",8.99
116,1,Steak Soft Tacos,"Fresh Tomato Salsa (Mild), Rice, Cheese, Lettuce",9.25
117,1,Barbacoa Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Cheese, Sour Cream, Lettuce",8.99
118,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",8.49
119,1,Chicken Burrito,"Fresh Tomato Salsa (Mild) (Mild), Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.49
120,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese",8.49
121,1,Chicken Burrito,"Fresh Tomato Salsa (Mild) (Mild), Black Beans, Rice, Cheese, Sour Cream",8.49
122,1,Steak Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Lettuce",8.99
123,2,Steak Salad Bowl,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Cheese, Guacamole",23.78
124,2,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Sour Cream",17.5
125,1,Steak Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Lettuce",9.25
126,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream",8.75
127,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Sour Cream, Guacamole, Lettuce",11.25
128,1,Steak Soft Tacos,"Fresh Tomato Salsa (Mild), Cheese, Sour Cream",9.25
129,1,Steak Burrito,"Tomatillo Green Chili Salsa, Rice, Cheese, Guacamole",11.75
130,1,Steak Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Lettuce",8.99
131,1,Chicken Bowl,"Fresh Tomato Salsa (Mild) (Mild), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.49
132,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.25
133,1,Steak Bowl,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream",8.99
134,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Lettuce",8.75
135,1,Chips and Guacamole,no choice,4.45
136,1,Chicken Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Fajita Veggies",8.49
137,2,Chicken Salad Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables",17.5
138,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese",8.49
139,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Black Beans, Sour Cream",8.75
140,1,Steak Burrito,"Fresh Tomato (Mild), Lettuce, Guacamole, Rice, Cheese",11.08
141,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Pinto Beans, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.49
142,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice",8.99
143,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese",8.75
144,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.25
145,1,Chicken Soft Tacos,"Fresh Tomato Salsa (Mild) (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce",8.49
146,1,Barbacoa Burrito,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Guacamole, Lettuce",11.75
147,1,Steak Bowl,"Tomatillo-Red Chili Salsa (Hot), Fajita Vegetables, Cheese, Guacamole, Lettuce",11.75
148,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole",11.25
149,1,Steak Soft Tacos,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",9.25
150,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.49
151,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese",8.49
152,2,Steak Burrito,"Fresh Tomato (Mild), Lettuce, Guacamole, Rice, Cheese",22.16
153,2,Chicken Soft Tacos,"Fresh Tomato Salsa (Mild), Sour Cream",17.5
154,1,Chicken Burrito,"Tomatillo Green Chili Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",8.75
155,1,Steak Burrito,"Fresh Tomato Salsa (Mild) (Mild), Pinto Beans, Cheese, Sour Cream",8.99
156,1,Steak Burrito,"Fresh Tomato Salsa (Mild) (Mild), Cheese, Sour Cream, Lettuce",8.99
157,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.25
158,1,Chicken Crispy Tacos,"Tomatillo Green Chili Salsa, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.25
159,1,Chicken Burrito,"Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Black Beans, Cheese, Lettuce, Guacamole",11.25
160,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Black Beans, Cheese, Sour Cream, Lettuce",8.99
161,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream",8.75
162,1,Carnitas Burrito,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Sour Cream, Cheese",9.25
163,1,Barbacoa Burrito,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Lettuce, Guacamole",11.75
164,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream",8.99
165,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Sour Cream, Guacamole",11.25
166,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Sour Cream, Cheese, Guacamole",11.25
167,1,Barbacoa Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",8.99
168,1,Steak Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.75
169,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Cheese, Sour Cream",8.75
170,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce",11.25
171,1,Veggie Burrito,"Tomatillo Green Chili Salsa, Guacamole",11.25
172,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream, Lettuce",8.49
173,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese",8.49
174,1,Chicken Burrito,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Lettuce, Guacamole",11.25
175,1,Steak Burrito,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Sour Cream, Guacamole",11.75
176,1,Steak Burrito,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Cheese, Guacamole, Lettuce",11.75
177,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.25
178,3,Chicken Bowl,"Fresh Tomato Salsa (Mild) (Mild), Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce",32.94
179,1,Canned Soft Drink,Coke,1.25
180,1,Steak Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Guacamole, Lettuce",11.48
181,2,Chicken Bowl,Tomatillo-Red Chili Salsa (Hot),17.5
182,1,Chips and Guacamole,no choice,4.45
183,1,Chicken Soft Tacos,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",8.75
184,1,Carnitas Burrito,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Lettuce",9.25
185,2,Chicken Soft Tacos,"Fresh Tomato Salsa (Mild), Sour Cream, Lettuce",17.5
186,1,Chicken Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Roasted Chili Corn Salsa (Medium), Guacamole, Cheese, Sour Cream",10.98
187,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",8.99
188,1,Carnitas Bowl,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.99
189,1,Veggie Burrito,"Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild) (Mild), Rice, Black Beans, Pinto Beans, Fajita Veggies, Guacamole, Lettuce",10.98
190,1,Steak Crispy Tacos,"Roasted Chili Corn Salsa (Medium), Tomatillo-Green Chili Salsa (Medium), Rice, Black Beans, Cheese, Sour Cream",8.99
191,1,Steak Burrito,"Tomatillo Green Chili Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",9.25
192,1,Chicken Burrito,"Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole",11.25
193,3,Bowl,"Braised Carnitas, Pinto Beans, Sour Cream, Cheese, Cilantro-Lime Rice",22.2
194,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese",8.49
195,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Lettuce",8.75
196,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese",8.75
197,1,Chicken Bowl,"Fresh Tomato Salsa (Mild) (Mild), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.49
198,1,Carnitas Burrito,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.75
199,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Black Beans, Cheese",8.75
200,1,Veggie Burrito,"Fresh Tomato Salsa (Mild) (Mild), Pinto Beans, Rice, Cheese, Sour Cream",8.49
201,1,Veggie Burrito,"Fresh Tomato Salsa (Mild) (Mild), Pinto Beans, Rice, Sour Cream, Cheese",8.49
202,1,Barbacoa Bowl,"Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Cheese, Guacamole",11.48
203,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole",11.25
204,1,Chicken Burrito,"Fresh Tomato (Mild), Guacamole, Lettuce, Rice, Fajita Veggies, Sour Cream, Cheese",10.58
205,1,Carnitas Burrito,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce",9.25
206,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole",11.25
207,1,Steak Soft Tacos,"Fresh Tomato Salsa (Mild), Sour Cream, Cheese",9.25
208,1,Veggie Burrito,"Fresh Tomato Salsa (Mild) (Mild), Pinto Beans, Cheese",8.49
209,1,Steak Bowl,"Tomatillo Green Chili Salsa, Fajita Vegetables, Rice, Lettuce",9.25
210,1,Chicken Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Guacamole",11.25
211,1,Steak Burrito,"Roasted Chili Corn Salsa, Rice, Black Beans, Sour Cream, Lettuce, Guacamole",11.75
212,1,Canned Soft Drink,Lemonade,1.25
213,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice",8.99
214,1,Burrito,"Adobo-Marinated and Grilled Chicken, Pinto Beans, Sour Cream, Salsa, Cheese, Cilantro-Lime Rice, Guacamole",7.4
215,1,Veggie Bowl,"Roasted Chili Corn Salsa, Rice, Black Beans, Sour Cream, Lettuce",8.75
216,1,Chicken Burrito,"Tomatillo Green Chili Salsa, Rice, Black Beans, Cheese, Sour Cream",8.75
217,1,Burrito,"Braised Barbacoa, Pinto Beans, Sour Cream, Salsa, Cheese, Cilantro-Lime Rice, Guacamole",7.4
218,1,Steak Burrito,"Fresh Tomato Salsa (Mild) (Mild), Pinto Beans, Rice, Sour Cream",8.99
219,1,Steak Bowl,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Cheese, Sour Cream, Lettuce",8.99
220,1,Chicken Salad Bowl,"Roasted Chili Corn Salsa, Black Beans, Sour Cream, Cheese, Lettuce",8.75
221,1,Chicken Salad Bowl,"Tomatillo Green Chili Salsa, Fajita Vegetables, Black Beans, Pinto Beans, Lettuce",8.75
222,1,Veggie Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Guacamole",11.25
223,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese",8.75
224,1,Veggie Burrito,"Fresh Tomato Salsa (Mild) (Mild), Pinto Beans, Rice, Cheese, Sour Cream",8.49
225,1,Chips and Tomatillo Green Chili Salsa,no choice,2.95
